return_type,parameter,releases_and_transfers,units
REM Return,Electricity Exported,^*,GWh
REM Return,Heat Exported,^*,GWh
REM Return,Mechanical Power Provided,^*,GWh
REM Return,Fossil Fuel Energy Consumption,^*,GWh
REM Return,Non-Fossil Fuel Consumption,^*,GWh
REM Return,Annual Operating Hours,^*,h
REM Return,Water Abstracted from Fresh Water Source,^*,m3
REM Return,Water Abstracted from Borehole Source,^*,m3
REM Return,Water Abstracted from Estuarine Water Source,^*,m3
REM Return,Water Abstracted from Sea Water Source,^*,m3
REM Return,Water Abstracted from Mains Water Source,^*,m3
REM Return,Gross Total Water Used,^*,m3
REM Return,Net Water Used,^*,m3
REM Return,Haz Waste Transferred for Disposal at another Installation,^*,t
REM Return,Haz Waste Transferred for Recovery at another Installation,^*,t
REM Return,Non-Haz Waste Transferred for Disposal at another Installation,^*,t
REM Return,Non-Haz Waste Transferred for Recovery at another Installation,^*,t
REM Return,Waste Recovered to Quality Protocol and Transferred Off-Site,^*,t
REM Return,Waste Transferred Directly Off-Site for Use under an exemption,^*,t
Pollution Inventory,Alachlor,Air,g
Pollution Inventory,Alachlor,Air,kg
Pollution Inventory,Alachlor,Air,kt
Pollution Inventory,Alachlor,Air,mg
Pollution Inventory,Alachlor,Air,t
Pollution Inventory,Alachlor,Controlled Water,g
Pollution Inventory,Alachlor,Controlled Water,kg
Pollution Inventory,Alachlor,Controlled Water,kt
Pollution Inventory,Alachlor,Controlled Water,mg
Pollution Inventory,Alachlor,Controlled Water,t
Pollution Inventory,Alachlor,General,g
Pollution Inventory,Alachlor,General,kg
Pollution Inventory,Alachlor,General,kt
Pollution Inventory,Alachlor,General,mg
Pollution Inventory,Alachlor,General,t
Pollution Inventory,Alachlor,Land,g
Pollution Inventory,Alachlor,Land,kg
Pollution Inventory,Alachlor,Land,kt
Pollution Inventory,Alachlor,Land,mg
Pollution Inventory,Alachlor,Land,t
Pollution Inventory,Alachlor,Waste Overseas,g
Pollution Inventory,Alachlor,Waste Overseas,kg
Pollution Inventory,Alachlor,Waste Overseas,kt
Pollution Inventory,Alachlor,Waste Overseas,mg
Pollution Inventory,Alachlor,Waste Overseas,t
Pollution Inventory,Alachlor,Waste Transfer,g
Pollution Inventory,Alachlor,Waste Transfer,kg
Pollution Inventory,Alachlor,Waste Transfer,kt
Pollution Inventory,Alachlor,Waste Transfer,mg
Pollution Inventory,Alachlor,Waste Transfer,t
Pollution Inventory,Alachlor,Waste Water,g
Pollution Inventory,Alachlor,Waste Water,kg
Pollution Inventory,Alachlor,Waste Water,kt
Pollution Inventory,Alachlor,Waste Water,mg
Pollution Inventory,Alachlor,Waste Water,t
Pollution Inventory,Aldrin,Air,g
Pollution Inventory,Aldrin,Air,kg
Pollution Inventory,Aldrin,Air,kt
Pollution Inventory,Aldrin,Air,mg
Pollution Inventory,Aldrin,Air,t
Pollution Inventory,Aldrin,Controlled Water,g
Pollution Inventory,Aldrin,Controlled Water,kg
Pollution Inventory,Aldrin,Controlled Water,kt
Pollution Inventory,Aldrin,Controlled Water,mg
Pollution Inventory,Aldrin,Controlled Water,t
Pollution Inventory,Aldrin,General,g
Pollution Inventory,Aldrin,General,kg
Pollution Inventory,Aldrin,General,kt
Pollution Inventory,Aldrin,General,mg
Pollution Inventory,Aldrin,General,t
Pollution Inventory,Aldrin,Land,g
Pollution Inventory,Aldrin,Land,kg
Pollution Inventory,Aldrin,Land,kt
Pollution Inventory,Aldrin,Land,mg
Pollution Inventory,Aldrin,Land,t
Pollution Inventory,Aldrin,Waste Overseas,g
Pollution Inventory,Aldrin,Waste Overseas,kg
Pollution Inventory,Aldrin,Waste Overseas,kt
Pollution Inventory,Aldrin,Waste Overseas,mg
Pollution Inventory,Aldrin,Waste Overseas,t
Pollution Inventory,Aldrin,Waste Transfer,g
Pollution Inventory,Aldrin,Waste Transfer,kg
Pollution Inventory,Aldrin,Waste Transfer,kt
Pollution Inventory,Aldrin,Waste Transfer,mg
Pollution Inventory,Aldrin,Waste Transfer,t
Pollution Inventory,Aldrin,Waste Water,g
Pollution Inventory,Aldrin,Waste Water,kg
Pollution Inventory,Aldrin,Waste Water,kt
Pollution Inventory,Aldrin,Waste Water,mg
Pollution Inventory,Aldrin,Waste Water,t
Pollution Inventory,Americium 241,Air,g
Pollution Inventory,Americium 241,Air,kg
Pollution Inventory,Americium 241,Air,kt
Pollution Inventory,Americium 241,Air,mg
Pollution Inventory,Americium 241,Air,t
Pollution Inventory,Americium 241,Controlled Water,g
Pollution Inventory,Americium 241,Controlled Water,kg
Pollution Inventory,Americium 241,Controlled Water,kt
Pollution Inventory,Americium 241,Controlled Water,mg
Pollution Inventory,Americium 241,Controlled Water,t
Pollution Inventory,Americium 241,General,g
Pollution Inventory,Americium 241,General,kg
Pollution Inventory,Americium 241,General,kt
Pollution Inventory,Americium 241,General,mg
Pollution Inventory,Americium 241,General,t
Pollution Inventory,Americium 241,Land,g
Pollution Inventory,Americium 241,Land,kg
Pollution Inventory,Americium 241,Land,kt
Pollution Inventory,Americium 241,Land,mg
Pollution Inventory,Americium 241,Land,t
Pollution Inventory,Americium 241,Waste Overseas,g
Pollution Inventory,Americium 241,Waste Overseas,kg
Pollution Inventory,Americium 241,Waste Overseas,kt
Pollution Inventory,Americium 241,Waste Overseas,mg
Pollution Inventory,Americium 241,Waste Overseas,t
Pollution Inventory,Americium 241,Waste Transfer,g
Pollution Inventory,Americium 241,Waste Transfer,kg
Pollution Inventory,Americium 241,Waste Transfer,kt
Pollution Inventory,Americium 241,Waste Transfer,mg
Pollution Inventory,Americium 241,Waste Transfer,t
Pollution Inventory,Americium 241,Waste Water,g
Pollution Inventory,Americium 241,Waste Water,kg
Pollution Inventory,Americium 241,Waste Water,kt
Pollution Inventory,Americium 241,Waste Water,mg
Pollution Inventory,Americium 241,Waste Water,t
Pollution Inventory,Ammonia,Air,g
Pollution Inventory,Ammonia,Air,kg
Pollution Inventory,Ammonia,Air,kt
Pollution Inventory,Ammonia,Air,mg
Pollution Inventory,Ammonia,Air,t
Pollution Inventory,Ammonia,Controlled Water,g
Pollution Inventory,Ammonia,Controlled Water,kg
Pollution Inventory,Ammonia,Controlled Water,kt
Pollution Inventory,Ammonia,Controlled Water,mg
Pollution Inventory,Ammonia,Controlled Water,t
Pollution Inventory,Ammonia,General,g
Pollution Inventory,Ammonia,General,kg
Pollution Inventory,Ammonia,General,kt
Pollution Inventory,Ammonia,General,mg
Pollution Inventory,Ammonia,General,t
Pollution Inventory,Ammonia,Land,g
Pollution Inventory,Ammonia,Land,kg
Pollution Inventory,Ammonia,Land,kt
Pollution Inventory,Ammonia,Land,mg
Pollution Inventory,Ammonia,Land,t
Pollution Inventory,Ammonia,Waste Overseas,g
Pollution Inventory,Ammonia,Waste Overseas,kg
Pollution Inventory,Ammonia,Waste Overseas,kt
Pollution Inventory,Ammonia,Waste Overseas,mg
Pollution Inventory,Ammonia,Waste Overseas,t
Pollution Inventory,Ammonia,Waste Transfer,g
Pollution Inventory,Ammonia,Waste Transfer,kg
Pollution Inventory,Ammonia,Waste Transfer,kt
Pollution Inventory,Ammonia,Waste Transfer,mg
Pollution Inventory,Ammonia,Waste Transfer,t
Pollution Inventory,Ammonia,Waste Water,g
Pollution Inventory,Ammonia,Waste Water,kg
Pollution Inventory,Ammonia,Waste Water,kt
Pollution Inventory,Ammonia,Waste Water,mg
Pollution Inventory,Ammonia,Waste Water,t
Pollution Inventory,Anthracene,Air,g
Pollution Inventory,Anthracene,Air,kg
Pollution Inventory,Anthracene,Air,kt
Pollution Inventory,Anthracene,Air,mg
Pollution Inventory,Anthracene,Air,t
Pollution Inventory,Anthracene,Controlled Water,g
Pollution Inventory,Anthracene,Controlled Water,kg
Pollution Inventory,Anthracene,Controlled Water,kt
Pollution Inventory,Anthracene,Controlled Water,mg
Pollution Inventory,Anthracene,Controlled Water,t
Pollution Inventory,Anthracene,General,g
Pollution Inventory,Anthracene,General,kg
Pollution Inventory,Anthracene,General,kt
Pollution Inventory,Anthracene,General,mg
Pollution Inventory,Anthracene,General,t
Pollution Inventory,Anthracene,Land,g
Pollution Inventory,Anthracene,Land,kg
Pollution Inventory,Anthracene,Land,kt
Pollution Inventory,Anthracene,Land,mg
Pollution Inventory,Anthracene,Land,t
Pollution Inventory,Anthracene,Waste Overseas,g
Pollution Inventory,Anthracene,Waste Overseas,kg
Pollution Inventory,Anthracene,Waste Overseas,kt
Pollution Inventory,Anthracene,Waste Overseas,mg
Pollution Inventory,Anthracene,Waste Overseas,t
Pollution Inventory,Anthracene,Waste Transfer,g
Pollution Inventory,Anthracene,Waste Transfer,kg
Pollution Inventory,Anthracene,Waste Transfer,kt
Pollution Inventory,Anthracene,Waste Transfer,mg
Pollution Inventory,Anthracene,Waste Transfer,t
Pollution Inventory,Anthracene,Waste Water,g
Pollution Inventory,Anthracene,Waste Water,kg
Pollution Inventory,Anthracene,Waste Water,kt
Pollution Inventory,Anthracene,Waste Water,mg
Pollution Inventory,Anthracene,Waste Water,t
Pollution Inventory,Antimony 125,Air,g
Pollution Inventory,Antimony 125,Air,kg
Pollution Inventory,Antimony 125,Air,kt
Pollution Inventory,Antimony 125,Air,mg
Pollution Inventory,Antimony 125,Air,t
Pollution Inventory,Antimony 125,Controlled Water,g
Pollution Inventory,Antimony 125,Controlled Water,kg
Pollution Inventory,Antimony 125,Controlled Water,kt
Pollution Inventory,Antimony 125,Controlled Water,mg
Pollution Inventory,Antimony 125,Controlled Water,t
Pollution Inventory,Antimony 125,General,g
Pollution Inventory,Antimony 125,General,kg
Pollution Inventory,Antimony 125,General,kt
Pollution Inventory,Antimony 125,General,mg
Pollution Inventory,Antimony 125,General,t
Pollution Inventory,Antimony 125,Land,g
Pollution Inventory,Antimony 125,Land,kg
Pollution Inventory,Antimony 125,Land,kt
Pollution Inventory,Antimony 125,Land,mg
Pollution Inventory,Antimony 125,Land,t
Pollution Inventory,Antimony 125,Waste Overseas,g
Pollution Inventory,Antimony 125,Waste Overseas,kg
Pollution Inventory,Antimony 125,Waste Overseas,kt
Pollution Inventory,Antimony 125,Waste Overseas,mg
Pollution Inventory,Antimony 125,Waste Overseas,t
Pollution Inventory,Antimony 125,Waste Transfer,g
Pollution Inventory,Antimony 125,Waste Transfer,kg
Pollution Inventory,Antimony 125,Waste Transfer,kt
Pollution Inventory,Antimony 125,Waste Transfer,mg
Pollution Inventory,Antimony 125,Waste Transfer,t
Pollution Inventory,Antimony 125,Waste Water,g
Pollution Inventory,Antimony 125,Waste Water,kg
Pollution Inventory,Antimony 125,Waste Water,kt
Pollution Inventory,Antimony 125,Waste Water,mg
Pollution Inventory,Antimony 125,Waste Water,t
Pollution Inventory,Argon 41,Air,g
Pollution Inventory,Argon 41,Air,kg
Pollution Inventory,Argon 41,Air,kt
Pollution Inventory,Argon 41,Air,mg
Pollution Inventory,Argon 41,Air,t
Pollution Inventory,Argon 41,Controlled Water,g
Pollution Inventory,Argon 41,Controlled Water,kg
Pollution Inventory,Argon 41,Controlled Water,kt
Pollution Inventory,Argon 41,Controlled Water,mg
Pollution Inventory,Argon 41,Controlled Water,t
Pollution Inventory,Argon 41,General,g
Pollution Inventory,Argon 41,General,kg
Pollution Inventory,Argon 41,General,kt
Pollution Inventory,Argon 41,General,mg
Pollution Inventory,Argon 41,General,t
Pollution Inventory,Argon 41,Land,g
Pollution Inventory,Argon 41,Land,kg
Pollution Inventory,Argon 41,Land,kt
Pollution Inventory,Argon 41,Land,mg
Pollution Inventory,Argon 41,Land,t
Pollution Inventory,Argon 41,Waste Overseas,g
Pollution Inventory,Argon 41,Waste Overseas,kg
Pollution Inventory,Argon 41,Waste Overseas,kt
Pollution Inventory,Argon 41,Waste Overseas,mg
Pollution Inventory,Argon 41,Waste Overseas,t
Pollution Inventory,Argon 41,Waste Transfer,g
Pollution Inventory,Argon 41,Waste Transfer,kg
Pollution Inventory,Argon 41,Waste Transfer,kt
Pollution Inventory,Argon 41,Waste Transfer,mg
Pollution Inventory,Argon 41,Waste Transfer,t
Pollution Inventory,Argon 41,Waste Water,g
Pollution Inventory,Argon 41,Waste Water,kg
Pollution Inventory,Argon 41,Waste Water,kt
Pollution Inventory,Argon 41,Waste Water,mg
Pollution Inventory,Argon 41,Waste Water,t
Pollution Inventory,Arsenic,Air,g
Pollution Inventory,Arsenic,Air,kg
Pollution Inventory,Arsenic,Air,kt
Pollution Inventory,Arsenic,Air,mg
Pollution Inventory,Arsenic,Air,t
Pollution Inventory,Arsenic,Controlled Water,g
Pollution Inventory,Arsenic,Controlled Water,kg
Pollution Inventory,Arsenic,Controlled Water,kt
Pollution Inventory,Arsenic,Controlled Water,mg
Pollution Inventory,Arsenic,Controlled Water,t
Pollution Inventory,Arsenic,General,g
Pollution Inventory,Arsenic,General,kg
Pollution Inventory,Arsenic,General,kt
Pollution Inventory,Arsenic,General,mg
Pollution Inventory,Arsenic,General,t
Pollution Inventory,Arsenic,Land,g
Pollution Inventory,Arsenic,Land,kg
Pollution Inventory,Arsenic,Land,kt
Pollution Inventory,Arsenic,Land,mg
Pollution Inventory,Arsenic,Land,t
Pollution Inventory,Arsenic,Waste Overseas,g
Pollution Inventory,Arsenic,Waste Overseas,kg
Pollution Inventory,Arsenic,Waste Overseas,kt
Pollution Inventory,Arsenic,Waste Overseas,mg
Pollution Inventory,Arsenic,Waste Overseas,t
Pollution Inventory,Arsenic,Waste Transfer,g
Pollution Inventory,Arsenic,Waste Transfer,kg
Pollution Inventory,Arsenic,Waste Transfer,kt
Pollution Inventory,Arsenic,Waste Transfer,mg
Pollution Inventory,Arsenic,Waste Transfer,t
Pollution Inventory,Arsenic,Waste Water,g
Pollution Inventory,Arsenic,Waste Water,kg
Pollution Inventory,Arsenic,Waste Water,kt
Pollution Inventory,Arsenic,Waste Water,mg
Pollution Inventory,Arsenic,Waste Water,t
Pollution Inventory,Asbestos,Air,g
Pollution Inventory,Asbestos,Air,kg
Pollution Inventory,Asbestos,Air,kt
Pollution Inventory,Asbestos,Air,mg
Pollution Inventory,Asbestos,Air,t
Pollution Inventory,Asbestos,Controlled Water,g
Pollution Inventory,Asbestos,Controlled Water,kg
Pollution Inventory,Asbestos,Controlled Water,kt
Pollution Inventory,Asbestos,Controlled Water,mg
Pollution Inventory,Asbestos,Controlled Water,t
Pollution Inventory,Asbestos,General,g
Pollution Inventory,Asbestos,General,kg
Pollution Inventory,Asbestos,General,kt
Pollution Inventory,Asbestos,General,mg
Pollution Inventory,Asbestos,General,t
Pollution Inventory,Asbestos,Land,g
Pollution Inventory,Asbestos,Land,kg
Pollution Inventory,Asbestos,Land,kt
Pollution Inventory,Asbestos,Land,mg
Pollution Inventory,Asbestos,Land,t
Pollution Inventory,Asbestos,Waste Overseas,g
Pollution Inventory,Asbestos,Waste Overseas,kg
Pollution Inventory,Asbestos,Waste Overseas,kt
Pollution Inventory,Asbestos,Waste Overseas,mg
Pollution Inventory,Asbestos,Waste Overseas,t
Pollution Inventory,Asbestos,Waste Transfer,g
Pollution Inventory,Asbestos,Waste Transfer,kg
Pollution Inventory,Asbestos,Waste Transfer,kt
Pollution Inventory,Asbestos,Waste Transfer,mg
Pollution Inventory,Asbestos,Waste Transfer,t
Pollution Inventory,Asbestos,Waste Water,g
Pollution Inventory,Asbestos,Waste Water,kg
Pollution Inventory,Asbestos,Waste Water,kt
Pollution Inventory,Asbestos,Waste Water,mg
Pollution Inventory,Asbestos,Waste Water,t
Pollution Inventory,Atrazine,Air,g
Pollution Inventory,Atrazine,Air,kg
Pollution Inventory,Atrazine,Air,kt
Pollution Inventory,Atrazine,Air,mg
Pollution Inventory,Atrazine,Air,t
Pollution Inventory,Atrazine,Controlled Water,g
Pollution Inventory,Atrazine,Controlled Water,kg
Pollution Inventory,Atrazine,Controlled Water,kt
Pollution Inventory,Atrazine,Controlled Water,mg
Pollution Inventory,Atrazine,Controlled Water,t
Pollution Inventory,Atrazine,General,g
Pollution Inventory,Atrazine,General,kg
Pollution Inventory,Atrazine,General,kt
Pollution Inventory,Atrazine,General,mg
Pollution Inventory,Atrazine,General,t
Pollution Inventory,Atrazine,Land,g
Pollution Inventory,Atrazine,Land,kg
Pollution Inventory,Atrazine,Land,kt
Pollution Inventory,Atrazine,Land,mg
Pollution Inventory,Atrazine,Land,t
Pollution Inventory,Atrazine,Waste Overseas,g
Pollution Inventory,Atrazine,Waste Overseas,kg
Pollution Inventory,Atrazine,Waste Overseas,kt
Pollution Inventory,Atrazine,Waste Overseas,mg
Pollution Inventory,Atrazine,Waste Overseas,t
Pollution Inventory,Atrazine,Waste Transfer,g
Pollution Inventory,Atrazine,Waste Transfer,kg
Pollution Inventory,Atrazine,Waste Transfer,kt
Pollution Inventory,Atrazine,Waste Transfer,mg
Pollution Inventory,Atrazine,Waste Transfer,t
Pollution Inventory,Atrazine,Waste Water,g
Pollution Inventory,Atrazine,Waste Water,kg
Pollution Inventory,Atrazine,Waste Water,kt
Pollution Inventory,Atrazine,Waste Water,mg
Pollution Inventory,Atrazine,Waste Water,t
Pollution Inventory,Benzene,Air,g
Pollution Inventory,Benzene,Air,kg
Pollution Inventory,Benzene,Air,kt
Pollution Inventory,Benzene,Air,mg
Pollution Inventory,Benzene,Air,t
Pollution Inventory,Benzene,Controlled Water,g
Pollution Inventory,Benzene,Controlled Water,kg
Pollution Inventory,Benzene,Controlled Water,kt
Pollution Inventory,Benzene,Controlled Water,mg
Pollution Inventory,Benzene,Controlled Water,t
Pollution Inventory,Benzene,General,g
Pollution Inventory,Benzene,General,kg
Pollution Inventory,Benzene,General,kt
Pollution Inventory,Benzene,General,mg
Pollution Inventory,Benzene,General,t
Pollution Inventory,Benzene,Land,g
Pollution Inventory,Benzene,Land,kg
Pollution Inventory,Benzene,Land,kt
Pollution Inventory,Benzene,Land,mg
Pollution Inventory,Benzene,Land,t
Pollution Inventory,Benzene,Waste Overseas,g
Pollution Inventory,Benzene,Waste Overseas,kg
Pollution Inventory,Benzene,Waste Overseas,kt
Pollution Inventory,Benzene,Waste Overseas,mg
Pollution Inventory,Benzene,Waste Overseas,t
Pollution Inventory,Benzene,Waste Transfer,g
Pollution Inventory,Benzene,Waste Transfer,kg
Pollution Inventory,Benzene,Waste Transfer,kt
Pollution Inventory,Benzene,Waste Transfer,mg
Pollution Inventory,Benzene,Waste Transfer,t
Pollution Inventory,Benzene,Waste Water,g
Pollution Inventory,Benzene,Waste Water,kg
Pollution Inventory,Benzene,Waste Water,kt
Pollution Inventory,Benzene,Waste Water,mg
Pollution Inventory,Benzene,Waste Water,t
Pollution Inventory,Benzo[a]pyrene,Air,g
Pollution Inventory,Benzo[a]pyrene,Air,kg
Pollution Inventory,Benzo[a]pyrene,Air,kt
Pollution Inventory,Benzo[a]pyrene,Air,mg
Pollution Inventory,Benzo[a]pyrene,Air,t
Pollution Inventory,Benzo[a]pyrene,Controlled Water,g
Pollution Inventory,Benzo[a]pyrene,Controlled Water,kg
Pollution Inventory,Benzo[a]pyrene,Controlled Water,kt
Pollution Inventory,Benzo[a]pyrene,Controlled Water,mg
Pollution Inventory,Benzo[a]pyrene,Controlled Water,t
Pollution Inventory,Benzo[a]pyrene,General,g
Pollution Inventory,Benzo[a]pyrene,General,kg
Pollution Inventory,Benzo[a]pyrene,General,kt
Pollution Inventory,Benzo[a]pyrene,General,mg
Pollution Inventory,Benzo[a]pyrene,General,t
Pollution Inventory,Benzo[a]pyrene,Land,g
Pollution Inventory,Benzo[a]pyrene,Land,kg
Pollution Inventory,Benzo[a]pyrene,Land,kt
Pollution Inventory,Benzo[a]pyrene,Land,mg
Pollution Inventory,Benzo[a]pyrene,Land,t
Pollution Inventory,Benzo[a]pyrene,Waste Overseas,g
Pollution Inventory,Benzo[a]pyrene,Waste Overseas,kg
Pollution Inventory,Benzo[a]pyrene,Waste Overseas,kt
Pollution Inventory,Benzo[a]pyrene,Waste Overseas,mg
Pollution Inventory,Benzo[a]pyrene,Waste Overseas,t
Pollution Inventory,Benzo[a]pyrene,Waste Transfer,g
Pollution Inventory,Benzo[a]pyrene,Waste Transfer,kg
Pollution Inventory,Benzo[a]pyrene,Waste Transfer,kt
Pollution Inventory,Benzo[a]pyrene,Waste Transfer,mg
Pollution Inventory,Benzo[a]pyrene,Waste Transfer,t
Pollution Inventory,Benzo[a]pyrene,Waste Water,g
Pollution Inventory,Benzo[a]pyrene,Waste Water,kg
Pollution Inventory,Benzo[a]pyrene,Waste Water,kt
Pollution Inventory,Benzo[a]pyrene,Waste Water,mg
Pollution Inventory,Benzo[a]pyrene,Waste Water,t
Pollution Inventory,Benzo[b]fluoranthene,Air,g
Pollution Inventory,Benzo[b]fluoranthene,Air,kg
Pollution Inventory,Benzo[b]fluoranthene,Air,kt
Pollution Inventory,Benzo[b]fluoranthene,Air,mg
Pollution Inventory,Benzo[b]fluoranthene,Air,t
Pollution Inventory,Benzo[b]fluoranthene,Controlled Water,g
Pollution Inventory,Benzo[b]fluoranthene,Controlled Water,kg
Pollution Inventory,Benzo[b]fluoranthene,Controlled Water,kt
Pollution Inventory,Benzo[b]fluoranthene,Controlled Water,mg
Pollution Inventory,Benzo[b]fluoranthene,Controlled Water,t
Pollution Inventory,Benzo[b]fluoranthene,General,g
Pollution Inventory,Benzo[b]fluoranthene,General,kg
Pollution Inventory,Benzo[b]fluoranthene,General,kt
Pollution Inventory,Benzo[b]fluoranthene,General,mg
Pollution Inventory,Benzo[b]fluoranthene,General,t
Pollution Inventory,Benzo[b]fluoranthene,Land,g
Pollution Inventory,Benzo[b]fluoranthene,Land,kg
Pollution Inventory,Benzo[b]fluoranthene,Land,kt
Pollution Inventory,Benzo[b]fluoranthene,Land,mg
Pollution Inventory,Benzo[b]fluoranthene,Land,t
Pollution Inventory,Benzo[b]fluoranthene,Waste Overseas,g
Pollution Inventory,Benzo[b]fluoranthene,Waste Overseas,kg
Pollution Inventory,Benzo[b]fluoranthene,Waste Overseas,kt
Pollution Inventory,Benzo[b]fluoranthene,Waste Overseas,mg
Pollution Inventory,Benzo[b]fluoranthene,Waste Overseas,t
Pollution Inventory,Benzo[b]fluoranthene,Waste Transfer,g
Pollution Inventory,Benzo[b]fluoranthene,Waste Transfer,kg
Pollution Inventory,Benzo[b]fluoranthene,Waste Transfer,kt
Pollution Inventory,Benzo[b]fluoranthene,Waste Transfer,mg
Pollution Inventory,Benzo[b]fluoranthene,Waste Transfer,t
Pollution Inventory,Benzo[b]fluoranthene,Waste Water,g
Pollution Inventory,Benzo[b]fluoranthene,Waste Water,kg
Pollution Inventory,Benzo[b]fluoranthene,Waste Water,kt
Pollution Inventory,Benzo[b]fluoranthene,Waste Water,mg
Pollution Inventory,Benzo[b]fluoranthene,Waste Water,t
Pollution Inventory,Benzo[ghi]perylene,Air,g
Pollution Inventory,Benzo[ghi]perylene,Air,kg
Pollution Inventory,Benzo[ghi]perylene,Air,kt
Pollution Inventory,Benzo[ghi]perylene,Air,mg
Pollution Inventory,Benzo[ghi]perylene,Air,t
Pollution Inventory,Benzo[ghi]perylene,Controlled Water,g
Pollution Inventory,Benzo[ghi]perylene,Controlled Water,kg
Pollution Inventory,Benzo[ghi]perylene,Controlled Water,kt
Pollution Inventory,Benzo[ghi]perylene,Controlled Water,mg
Pollution Inventory,Benzo[ghi]perylene,Controlled Water,t
Pollution Inventory,Benzo[ghi]perylene,General,g
Pollution Inventory,Benzo[ghi]perylene,General,kg
Pollution Inventory,Benzo[ghi]perylene,General,kt
Pollution Inventory,Benzo[ghi]perylene,General,mg
Pollution Inventory,Benzo[ghi]perylene,General,t
Pollution Inventory,Benzo[ghi]perylene,Land,g
Pollution Inventory,Benzo[ghi]perylene,Land,kg
Pollution Inventory,Benzo[ghi]perylene,Land,kt
Pollution Inventory,Benzo[ghi]perylene,Land,mg
Pollution Inventory,Benzo[ghi]perylene,Land,t
Pollution Inventory,Benzo[ghi]perylene,Waste Overseas,g
Pollution Inventory,Benzo[ghi]perylene,Waste Overseas,kg
Pollution Inventory,Benzo[ghi]perylene,Waste Overseas,kt
Pollution Inventory,Benzo[ghi]perylene,Waste Overseas,mg
Pollution Inventory,Benzo[ghi]perylene,Waste Overseas,t
Pollution Inventory,Benzo[ghi]perylene,Waste Transfer,g
Pollution Inventory,Benzo[ghi]perylene,Waste Transfer,kg
Pollution Inventory,Benzo[ghi]perylene,Waste Transfer,kt
Pollution Inventory,Benzo[ghi]perylene,Waste Transfer,mg
Pollution Inventory,Benzo[ghi]perylene,Waste Transfer,t
Pollution Inventory,Benzo[ghi]perylene,Waste Water,g
Pollution Inventory,Benzo[ghi]perylene,Waste Water,kg
Pollution Inventory,Benzo[ghi]perylene,Waste Water,kt
Pollution Inventory,Benzo[ghi]perylene,Waste Water,mg
Pollution Inventory,Benzo[ghi]perylene,Waste Water,t
Pollution Inventory,Cadmium,Air,g
Pollution Inventory,Cadmium,Air,kg
Pollution Inventory,Cadmium,Air,kt
Pollution Inventory,Cadmium,Air,mg
Pollution Inventory,Cadmium,Air,t
Pollution Inventory,Cadmium,Controlled Water,g
Pollution Inventory,Cadmium,Controlled Water,kg
Pollution Inventory,Cadmium,Controlled Water,kt
Pollution Inventory,Cadmium,Controlled Water,mg
Pollution Inventory,Cadmium,Controlled Water,t
Pollution Inventory,Cadmium,General,g
Pollution Inventory,Cadmium,General,kg
Pollution Inventory,Cadmium,General,kt
Pollution Inventory,Cadmium,General,mg
Pollution Inventory,Cadmium,General,t
Pollution Inventory,Cadmium,Land,g
Pollution Inventory,Cadmium,Land,kg
Pollution Inventory,Cadmium,Land,kt
Pollution Inventory,Cadmium,Land,mg
Pollution Inventory,Cadmium,Land,t
Pollution Inventory,Cadmium,Waste Overseas,g
Pollution Inventory,Cadmium,Waste Overseas,kg
Pollution Inventory,Cadmium,Waste Overseas,kt
Pollution Inventory,Cadmium,Waste Overseas,mg
Pollution Inventory,Cadmium,Waste Overseas,t
Pollution Inventory,Cadmium,Waste Transfer,g
Pollution Inventory,Cadmium,Waste Transfer,kg
Pollution Inventory,Cadmium,Waste Transfer,kt
Pollution Inventory,Cadmium,Waste Transfer,mg
Pollution Inventory,Cadmium,Waste Transfer,t
Pollution Inventory,Cadmium,Waste Water,g
Pollution Inventory,Cadmium,Waste Water,kg
Pollution Inventory,Cadmium,Waste Water,kt
Pollution Inventory,Cadmium,Waste Water,mg
Pollution Inventory,Cadmium,Waste Water,t
Pollution Inventory,Caesium 134,Air,g
Pollution Inventory,Caesium 134,Air,kg
Pollution Inventory,Caesium 134,Air,kt
Pollution Inventory,Caesium 134,Air,mg
Pollution Inventory,Caesium 134,Air,t
Pollution Inventory,Caesium 134,Controlled Water,g
Pollution Inventory,Caesium 134,Controlled Water,kg
Pollution Inventory,Caesium 134,Controlled Water,kt
Pollution Inventory,Caesium 134,Controlled Water,mg
Pollution Inventory,Caesium 134,Controlled Water,t
Pollution Inventory,Caesium 134,General,g
Pollution Inventory,Caesium 134,General,kg
Pollution Inventory,Caesium 134,General,kt
Pollution Inventory,Caesium 134,General,mg
Pollution Inventory,Caesium 134,General,t
Pollution Inventory,Caesium 134,Land,g
Pollution Inventory,Caesium 134,Land,kg
Pollution Inventory,Caesium 134,Land,kt
Pollution Inventory,Caesium 134,Land,mg
Pollution Inventory,Caesium 134,Land,t
Pollution Inventory,Caesium 134,Waste Overseas,g
Pollution Inventory,Caesium 134,Waste Overseas,kg
Pollution Inventory,Caesium 134,Waste Overseas,kt
Pollution Inventory,Caesium 134,Waste Overseas,mg
Pollution Inventory,Caesium 134,Waste Overseas,t
Pollution Inventory,Caesium 134,Waste Transfer,g
Pollution Inventory,Caesium 134,Waste Transfer,kg
Pollution Inventory,Caesium 134,Waste Transfer,kt
Pollution Inventory,Caesium 134,Waste Transfer,mg
Pollution Inventory,Caesium 134,Waste Transfer,t
