EA_ID,SITE,ALTERNATIVES
43170,Cavendish Lodge Farm,3/77/057/56SE
43175,Girton Quarry Site,3/91/233/86NW
43180,Vale Road Quarry,2/94/402/56SW
43183,Rufford Colliery Complex,3/92/274/56SE
43192,Hallam,1/91/250/68NE
43225,Export Drive,4/81/114/45NE
43226,Lumshill Quarry,LM40
43236,Exchem Explosives Limited,LA04
43256,Elvaston Quarry,LS50
43273,Sons Ltd  Ford Lane,LL03
43276,Pride Park Waste Repository,LD03
43281,Veolia Es Cleanaway ( U K ) Limited - Mountsorrel Quarry,SLL000027
43298,Sandfield Quarry,SLL000066
43321,Huncote Quarry,SLL000094
43331,F E Downes Ltd,SLL000193
43372,Frolesworth Road,SLL000166
43398,Old Coppice Side,SLD00LS73
43412,British Waterways,1/93/330/68SE
43413,Lindleys Lane,4/94/373/55NW
43421,Land At Bowbridge Lane Balderton Newark,3/93/315/85SW
43436,Grove Farm Tip,SLDOOLS16
43442,Bassingfield Gravel Pit ( Disused),8/77/70/63NW
43478,Brickyard Farm Lums Hill,LM30
43497,Ibstock Building Products,55/19/7/2
46010,Bayer Uk Ltd - Landfill Stoke Works,105117
46016,Veolia E S Cleanaway ( U K) Limited,105164
46020,Penny Hill Quarry Landfill,105406
46032,Stourhill Quarry Landfill,105906
46033,Summerway Landfill,105907
46039,Doddingtree Farm Landfill,105926
46052,Dudley Drop Forgings Ltd Landfill,SL277
46053,Shaw Brothers Landfill,SL278
46055,Landfill At Rear Of Moonraker House,SL424
46058,Drawisle Ltd Landfill,SL569
46133,Hanson ( W R G ) Landfill,6E/77/29
46138,Enville Road Sand Quarry Landfill,6A/790/155
46143,Severn Trent Water Ltd Screenings Tip Landfill,6D/920/412
46147,High Down Quarry Landfill,6A/93/560
46148,Himley Wood Landfill,6G/96/612
47002,"B J Challinor, Landfill",4/A/92/443
47007,British Sugar Plc Landfill,A25/30/SL9
47011,Wrekin Council Landfill,A25/30/SL81
47013,Coalmoor Landfill Site,A25/30/SL96
47017,Silvertrees Landfill,A25/30/SL107
47025,Wellings Ltd Landfill,A25/30/SL147
