"EA_ID","SITE","ALTERNATIVES"
43196,"Carlton Forest Quarry","SP3593CS"
43210,"Calton Hill Landfill","LP3893CB"
43227,"Sutton Landfill Site","AP3290LU"
43248,"Lount Landfill Site","GP3393CH"
43282,"Bescaby Landfill Site","HP3093CU"
43366,"Enderby Warren","AP3993CV"
43374,"Narborough Landfill Site","CB3303KB"
43405,"Bramcote Quarry Landfill","JP3393CZ"
43435,"Barnstone Landfill Site","PP3690CR"
47051,"Aldon Landfill Site","QP3999CD"
47052,"Heathgates Landfill Site","QP3599CC"
47054,"Betton Abbots Landfill","QP3499CH"
47055,"Granville Transfer And Treatment Facility","QP3299CX"
48090,"Welford Quarry   Biffa","AP3995CD"
48092,"Welford Quarry Landfill","AP3895CA"
53545,"Danes Moss Landfill Site","AP3296SP"
53552,"Rakehead Lane Landfill Site","EP3992CA"
53554,"Bromborough Dock North Landfill Site","EP3892CV"
53648,"Amberswood Landfill Site","PP3996CZ"
54096,"Jameson Road Landfill Site Phase 1","AP3095LF"
54097,"Clifton Marsh Landfill Site - Phase 1-3","WP3691CM"
54098,"Ulnes Walton L F S, Phase 1","WP3191CA"
54100,"Cotestones L F S","AP3391CP"
54101,"Much Hoole L F S","AP3091CA"
54102,"Henthorn Road Landfill Site","AP3095SA"
54104,"Whinney Hill Landfill Site","AP3096LZ"
54105,"Salt Ayre Landfill Site","AP3193LT"
54231,"Kirkless Landfill Site","XP3597CE"
54280,"Ulnes Walton L F S, Phase 2","FP3397CW"
54500,"Kirkless Landfill Gas Utilisation","MP3293ZZ"
57002,"Lillyhall Landfill Stage 1","UP3793ZG"
57099,"Lillyhall Landfill Stage 2","BP3094LH"
57131,"Kendal Fell Quarry Phase 1a","GP3793ZW"
57132,"Kendal Fell Quarry Phase 2","KP3393ZZ"
57292,"Kendal Fell Quarry Phase 1b","VP3093ZA"
60132,"Carlin Howe Farm","KP3590ZF"
60204,"Darrington Northside Landfill","ZP3290ZD"
60213,"Darrington Bentonite Quarry","NP3490ZC"
60215,"Escrick Brickworks, Escrick","NP3290ZK"
60802,"Hollins Hey Landfill Site","EP3499ZY"
60851,"Scabba Wood Quarry","WP3499ZE"
61057,"Honley Wood North Side","FP3495ZN"
65052,"Skelbrooke Landfill Extension","CP3994ZR"
65184,"Darrington Northside Quarry","AP3294LZ"
67044,"Blue House Quarry","AP3199LY"
67387,"Frankham Waste Disposal Site","GP3597ZY"
67388,"Harecrag Waste Disposal Site","GP3897ZL"
67389,"Linkhamdean Waste Disposal Site","GP3497ZR"
67391,"Sisters Waste Disposal Site","GP3697ZQ"
67392,"West Woodburn Waste Disposal Site","GP3197ZZ"
67443,"Burnhills Landfill  ( Phase 1)","CP3197ZT"
67466,"Burnhills Landfill ( Phase 2a)","EP3097ZT"
67482,"Brenkley Quarry Landfill Site","VP3697ZN"
67548,"Crawcrook Quarry","BB3901XY"
67581,"Burnhills Landfill ( Phase 2 B)","SP3893NR"
67603,"Burnhills Quarry Landfill ( Phases 3-6)","MP3293NB"
68683,"Scorton Landfill","QP3493NT"
70052,"Potton Landfill","XP3890NA"
70467,"Attlebridge Landfill","VP3399NP"
70562,"Cowthick Limestone Quarry","PP3995NJ"
