permit,long_name
EP3136GK,EP3136GK - Rainham Landfill
EP3830LE,EP3830LE - SEATON MEADOWS
EP3936GP,EP3936GP - Pitsea Landfill
FP3038UB,FP3038UB - Rainham Generation Plant
FP3138UL,FP3138UL - Bellhouse Generation plant
FP3435PJ,FP3435PJ - Studley Grange Landfill
FP3437CZ,FP3437CZ - Alcan Ash Lagoons 1-4
FP3438UT,FP3438UT - PITSEA GENERATION PLANT
FP3733BH,FP3733BH - Godmanchester Landfill Site
GP3037SJ,GP3037SJ - Lillyhall Stage 3 Landfill Site
GP3232PZ,GP3232PZ - Highmoor Landfill Gas Compound
GP3334XL,GP3334XL - Hilltop Farm Brinefields
GP3431LF,GP3431LF - Buckden Effluent Treatment Plant
GP3537PU,GP3537PU - Henthorn Road Landfill
GP3632PY,GP3632PY - Distington Gas Utilisation Plant
GP3733FE,GP3733FE - Fletcher Bank Landfill Site
GP3937PZ,GP3937PZ - JMRP1 Leachate Treatment Plant & JMRP1
GP3938LF,GP3938LF - Sandy Lane Landfill Site
HP3437NS,HP3437NS - Rushton Landfill Gas Utilisation Plant
HP3530BS,HP3530BS - Springwell Quarry
HP3630LN,HP3630LN - wapsey wood landfill gas utilisation plant
HP3638UE,HP3638UE - SIDEGATE LANE GENERATION PLANT
JP3037ZK,JP3037ZK - Poundbottom Landfill Site
JP3238WF,JP3238WF - Narborough Gas Utilisation Plant
JP3338ST,JP3338ST - Westby Landfill Site
JP3339CR,JP3339CR - Gasrec Biomethane Plant
JP3339SF,JP3339SF - Oldbury-on-Severn Power Station
JP3832WF,JP3832WF - Knapton Gravel Quarry
KP3238PU,KP3238PU - CANDLES LANDFILL
KP3532PQ,KP3532PQ - Edgefield Hall Farm Generation Project
KP3539BQ,KP3539BQ - RIBBLESDALE WORKS
KP3734LL,KP3734LL - DEERPLAY LANDFILL
LP3031LK,LP3031LK - Small Dole Leachate Treatment Plant
LP3032UR,LP3032UR - WARESLEY LANDFILL
LP3039LP,LP3039LP - RIXTON LANDFILL
LP3133FK,LP3133FK - Britannia Quarry
LP3236SU,LP3236SU - Barling Marsh Landfill
LP3236XH,LP3236XH - Ockendon Power Plant
LP3330XP,LP3330XP - Thornhill Quarry Landfill Site
LP3434HA,LP3434HA - BRADLEY PARK LANDFILL SITE
LP3437UZ,LP3437UZ - DARRINGTON NORTH LANDFILL
LP3530BX,LP3530BX - Carnaby Landfill Site
LP3832NM,LP3832NM - JOINT STOCKS LANDFILL PHASE 2
LP3839WL,LP3839WL - Kingsweston Landfill
